carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,price,trans_category,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,licenseDate_year,licenseDate_month,licenseDate_day,car_category
190,30,143,184,6.63,6,1,1.0,0,5,779418.0,2.0,2017.0,2.0,13.0,1,3.660737148167656,2.847232265235547,3.0,2021,6,29,2016,5,1,2016,7,14,0.0
212,49,158,206,4.71,2,1,1.0,1,7,779416.0,3.0,2016.0,2.4,3.0,1,3.433664571799657,2.653241964607215,3.0,2021,7,8,2016,6,1,2017,5,24,0.0
222,8,16,216,9.53,5,3,2.0,0,5,779412.0,2.0,2008.0,1.6,3.0,1,2.644755350729896,1.2499017362143359,3.0,2021,4,21,2009,5,1,2009,6,4,0.0
344,6,216,328,1.85,1,3,2.0,0,5,779413.0,1.0,2018.0,1.5,17.0,1,2.065596134857783,1.728109442151599,3.0,2021,4,20,2018,5,1,2018,7,3,0.0
358,3,137,176,11.49,1,2,2.0,0,5,779416.0,2.0,2017.0,1.6,10.0,1,2.733717947850788,1.6094379124341003,3.0,2021,6,26,2013,12,1,2014,5,30,0.0
364,20,127,343,7.84,5,1,2.0,0,5,779412.0,2.0,2011.0,1.6,21.0,1,3.459466289786131,2.224623551524334,3.0,2021,7,20,2012,4,1,2012,5,31,0.0
462,11,186,436,4.7,1,1,1.0,0,5,779412.0,2.0,2016.0,1.4,16.0,1,2.9699015135194693,2.533696813957432,3.0,2021,6,21,2017,2,1,2017,4,17,0.0
468,3,261,440,10.72,1,1,1.0,1,5,779416.0,3.0,2013.0,1.6,3.0,1,3.125882958019036,1.8562979903656263,3.0,2021,7,23,2014,3,1,2014,5,7,0.0
503,8,171,475,2.97,1,3,2.0,0,5,779412.0,2.0,2016.0,1.6,9.0,1,2.39698576841553,1.8991179875485542,3.0,2021,4,29,2017,6,1,2018,1,22,0.0
507,18,33,479,1.78,1,1,4.0,0,5,779412.0,2.0,2021.0,2.0,13.0,1,3.6267380575760866,3.5139306516493947,3.0,2021,7,5,2020,11,1,2021,2,19,1.0
526,38,85,106,10.24,3,3,2.0,2,5,779421.0,2.0,2012.0,1.4,3.0,1,2.39698576841553,1.410986973710262,3.0,2021,7,14,2012,8,1,2012,12,3,0.0
564,11,15,529,11.57,5,3,3.0,3,5,779412.0,2.0,2005.0,2.0,20.0,1,3.7130841428107537,1.5851452198650557,3.0,2021,4,2,2007,4,1,2007,6,4,0.0
566,3,137,531,13.84,1,1,2.0,1,5,779416.0,2.0,2012.0,1.6,10.0,1,2.645465325910589,1.5623463049002497,3.0,2021,4,10,2013,5,1,2013,6,18,0.0
577,17,169,495,5.85,3,5,1.0,1,7,779413.0,1.0,2017.0,1.5,23.0,1,2.39698576841553,2.0149030205422647,3.0,2021,6,17,2018,3,1,2018,4,4,0.0
600,18,300,558,5.09,1,1,2.0,0,5,779412.0,3.0,2013.0,1.6,13.0,1,3.4688560301359703,2.4595888418037104,3.0,2021,5,28,2014,2,1,2014,4,14,0.0
629,8,177,587,3.41,6,5,4.0,0,5,779412.0,2.0,2020.0,1.4,16.0,1,2.9745086371023644,2.5877640352277083,3.0,2021,6,25,2020,3,1,2020,4,3,0.0
689,36,81,639,5.6,2,5,1.0,0,5,779413.0,1.0,2015.0,1.8,3.0,1,2.39698576841553,1.5151272329628591,3.0,2021,6,25,2015,7,1,2017,6,13,0.0
706,18,33,654,7.09,1,1,2.0,0,5,779412.0,2.0,2014.0,2.0,13.0,1,3.607669398688393,2.8622008809294686,3.0,2021,7,16,2014,10,1,2014,11,14,0.0
723,28,324,668,1.59,1,3,4.0,0,5,779419.0,2.0,2020.0,1.5,2.0,1,2.60859812213055,2.365559892155434,3.0,2021,6,23,2020,4,1,2020,9,2,0.0
743,6,328,687,0.64,3,2,4.0,0,5,779412.0,2.0,2021.0,2.0,7.0,1,2.6993457604720636,2.5726122302071057,3.0,2021,7,26,2021,3,1,2021,6,2,0.0
763,13,18,707,11.73,4,5,2.0,2,5,779412.0,2.0,2011.0,1.6,3.0,1,2.673458756332591,0.9555114450274363,3.0,2021,7,24,2011,4,1,2011,5,19,0.0
817,12,259,752,2.75,1,5,4.0,0,5,779415.0,1.0,2019.0,1.5,11.0,1,2.700018029404946,2.322387720290225,3.0,2021,7,18,2019,4,1,2019,7,8,0.0
860,5,159,782,3.76,1,3,1.0,0,5,779416.0,2.0,2017.0,1.5,3.0,1,2.6166656393003573,1.9021075263969205,3.0,2021,5,11,2017,6,1,2017,8,29,0.0
872,2,10,792,0.2,1,2,1.0,0,5,779415.0,2.0,2019.0,1.5,2.0,1,2.280339484046726,2.0541237336955462,3.0,2021,5,6,2020,5,1,2020,7,16,0.0
903,29,358,816,9.13,2,3,3.0,0,5,779413.0,1.0,2008.0,1.5,6.0,1,2.089391872533004,0.5306282510621704,3.0,2021,4,13,2009,4,1,2009,5,6,0.0
905,8,14,818,3.76,1,3,1.0,0,5,779412.0,2.0,2017.0,1.6,6.0,1,2.700018029404946,2.1234584270966104,3.0,2021,7,12,2017,6,1,2017,8,7,0.0
917,54,360,829,3.12,1,1,1.0,0,7,779415.0,2.0,2013.0,3.0,21.0,1,3.3971893602646164,2.8707357833793057,3.0,2021,6,24,2017,5,1,2017,12,11,0.0
937,20,209,846,6.01,1,1,1.0,0,5,779412.0,2.0,2016.0,1.6,7.0,1,3.4005304926744517,2.791165107812717,3.0,2021,6,19,2016,11,1,2016,11,28,0.0
955,27,142,183,11.25,5,1,2.0,2,5,779411.0,3.0,2012.0,2.0,3.0,1,4.155753190350744,2.740840023925201,3.0,2021,7,10,2012,4,1,2012,8,24,0.0
1025,32,389,915,9.14,1,3,2.0,0,5,779415.0,2.0,2013.0,1.4,6.0,1,1.9740810260220096,0.8960880245566356,3.0,2021,4,7,2013,6,1,2013,10,23,0.0
1050,1,1,936,2.86,5,2,1.0,0,5,779413.0,1.0,2017.0,1.5,12.0,1,1.9851308622085946,1.4701758451005926,3.0,2021,5,23,2017,5,1,2017,5,27,0.0
1061,20,127,946,13.03,4,3,2.0,1,5,779412.0,2.0,2013.0,1.8,15.0,1,3.459466289786131,2.3204250111223765,3.0,2021,4,16,2013,4,1,2013,9,26,0.0
1095,3,321,974,11.9,1,3,2.0,1,5,779416.0,3.0,2012.0,2.0,9.0,1,3.486763269991802,2.3263016196113617,3.0,2021,4,28,2014,9,1,2015,4,9,0.0
1123,8,108,997,3.72,5,3,1.0,0,5,779412.0,2.0,2017.0,1.8,7.0,1,3.2950958507796098,2.8610573702273894,3.0,2021,6,17,2017,11,1,2018,1,23,0.0
1136,12,224,1006,10.3,6,1,1.0,1,7,779415.0,2.0,2016.0,2.4,11.0,1,3.4651107074058083,3.068052935133617,3.0,2021,7,25,2016,7,1,2016,9,20,0.0
1140,1,167,1008,7.75,1,1,2.0,0,7,779413.0,1.0,2015.0,1.8,6.0,1,2.300583090323373,1.5260563034950492,3.0,2021,6,23,2015,6,1,2015,7,24,0.0
1185,23,68,450,8.98,2,1,2.0,0,5,779419.0,2.0,2011.0,1.6,6.0,1,2.3960663285717874,1.3937663759585914,3.0,2021,4,13,2012,8,1,2012,8,20,0.0
1192,8,135,930,1.31,1,1,1.0,0,5,779412.0,2.0,2014.0,1.6,3.0,1,2.432735777459091,1.884034745337226,3.0,2021,6,29,2015,2,1,2015,4,10,0.0
1197,19,371,1053,7.37,1,1,2.0,0,5,779413.0,1.0,2014.0,1.5,6.0,1,2.065596134857783,1.1631508098056809,3.0,2021,7,25,2014,10,1,2014,12,1,0.0
1294,53,189,1120,19.36,5,3,3.0,2,5,779413.0,1.0,2007.0,2.0,21.0,1,2.866761892257031,0.9162907318741551,3.0,2021,4,8,2009,5,1,2009,7,10,0.0
1314,44,249,1135,1.01,1,2,4.0,0,5,779412.0,2.0,2020.0,2.0,19.0,1,2.9433857931817817,2.5764217586237734,3.0,2021,7,26,2020,10,1,2020,11,9,0.0
1326,57,214,1144,9.29,5,1,1.0,0,9,779413.0,1.0,2016.0,1.6,6.0,1,2.065596134857783,1.3862943611198906,3.0,2021,7,24,2016,7,1,2016,8,9,0.0
1331,14,340,745,11.19,2,1,2.0,2,5,779412.0,1.0,2016.0,1.5,6.0,1,2.300583090323373,1.3862943611198906,3.0,2021,6,29,2016,2,1,2016,6,1,0.0
1368,6,190,1174,3.17,1,2,1.0,0,5,779413.0,1.0,2018.0,1.8,3.0,1,2.637627736805664,2.1004689088719113,3.0,2021,7,19,2019,3,1,2019,5,17,0.0
1449,3,378,1237,7.25,1,1,1.0,1,5,779416.0,2.0,2017.0,2.0,3.0,1,3.484618989801228,2.772588722239781,3.0,2021,7,31,2017,8,1,2018,1,3,0.0
1460,12,304,1243,2.88,1,5,1.0,0,5,779415.0,2.0,2019.0,1.5,11.0,1,3.1354942159291497,2.9806186357439426,3.0,2021,7,18,2019,8,1,2019,8,26,0.0
1469,74,288,519,8.19,4,2,1.0,1,5,779413.0,1.0,2015.0,2.0,13.0,1,2.7067159780890733,1.4350845252893227,3.0,2021,5,28,2016,8,1,2016,10,11,0.0
1493,23,35,1268,2.12,1,3,4.0,0,5,779419.0,2.0,2019.0,1.6,16.0,1,2.9439125248241944,2.583997552432231,3.0,2021,5,29,2019,8,1,2019,11,21,0.0
1524,17,460,1287,4.11,1,3,2.0,0,5,779413.0,1.0,2009.0,1.5,6.0,1,1.9300710850255671,0.5306282510621704,3.0,2021,4,13,2010,5,1,2010,6,29,0.0
1527,1,461,1289,1.47,1,3,1.0,0,7,779413.0,1.0,2019.0,1.5,2.0,1,2.4664031782234406,2.0541237336955462,3.0,2021,7,1,2019,9,1,2020,5,11,0.0
1532,44,249,1135,0.21,2,2,4.0,0,5,779412.0,2.0,2020.0,2.0,19.0,1,2.9433857931817817,2.617395832834079,3.0,2021,7,30,2020,10,1,2021,1,20,0.0
1691,25,80,1382,7.82,2,15,2.0,0,5,779413.0,1.0,2009.0,1.5,6.0,1,1.900613874140137,0.832909122935104,3.0,2020,4,17,2010,12,1,2011,1,17,0.0
1759,17,480,1400,7.13,1,19,1.0,0,5,779412.0,2.0,2014.0,1.5,32.0,2,3.090132948975475,1.7578579175523736,3.0,2020,12,5,2015,3,1,2015,4,27,0.0
1813,18,175,1399,14.15,1,1,2.0,1,5,779412.0,2.0,2011.0,2.5,13.0,1,3.911222685257377,2.772588722239781,3.0,2021,4,24,2011,8,1,2011,9,9,0.0
2056,17,491,1444,0.57,1,17,4.0,0,5,779412.0,2.0,2019.0,1.5,32.0,2,2.8148097376737438,2.5079719227189963,3.0,2020,10,25,2019,4,1,2019,9,16,0.0
2094,8,135,171,3.8,1,4,1.0,0,5,779412.0,2.0,2016.0,1.6,9.0,1,2.432735777459091,1.9712993830601329,3.0,2020,8,19,2016,7,1,2016,9,27,0.0
2381,5,31,1161,8.25,3,1,1.0,3,7,779416.0,2.0,2014.0,2.4,3.0,1,3.169685580677429,2.2823823856765264,3.0,2020,9,23,2014,7,1,2014,7,31,0.0
2498,5,90,1506,4.64,5,5,3.0,1,5,779416.0,2.0,2006.0,2.4,17.0,1,3.2180755046974316,0.9162907318741551,3.0,2021,3,11,2007,3,1,2007,3,6,0.0
2544,5,90,1506,13.66,2,1,3.0,0,5,779412.0,2.0,2006.0,2.4,17.0,1,3.2180755046974316,1.2669476034873244,3.0,2020,6,1,2006,7,1,2007,7,6,0.0
2668,54,453,1537,9.05,5,17,1.0,0,7,779415.0,2.0,2016.0,2.4,5.0,1,3.0291670496402285,2.6026896854443837,3.0,2021,7,9,2017,3,1,2017,5,10,0.0
2811,20,179,1573,7.73,2,1,1.0,1,5,779412.0,3.0,2016.0,3.0,15.0,1,4.918520005188451,4.341204640153626,3.0,2021,4,8,2016,9,1,2017,1,9,2.0
2970,8,135,1613,1.41,1,15,1.0,0,5,779412.0,2.0,2018.0,1.5,9.0,1,2.4150205223238337,2.174751721484161,3.0,2020,5,2,2018,7,1,2018,10,9,0.0
3044,8,8,1616,8.21,1,23,2.0,0,5,779412.0,2.0,2017.0,1.5,9.0,1,2.464703942470481,1.9712993830601329,3.0,2020,8,12,2017,3,1,2017,7,19,0.0
3066,8,400,1621,9.05,2,3,2.0,1,5,779412.0,3.0,2011.0,3.0,13.0,1,4.42484663185681,3.2939832973550063,3.0,2021,4,4,2013,9,1,2014,5,23,1.0
3151,18,132,1623,5.11,2,1,1.0,0,5,779412.0,2.0,2015.0,3.0,13.0,1,4.530446639792155,3.9982007016691985,3.0,2020,11,7,2016,6,1,2016,10,12,2.0
3192,16,23,1628,7.51,8,16,1.0,0,5,779415.0,2.0,2017.0,2.5,3.0,1,3.1170645587215158,2.6490076604684267,3.0,2020,12,6,2017,3,1,2017,4,27,0.0
3346,8,208,1279,3.96,1,12,1.0,0,5,779412.0,2.0,2016.0,1.6,3.0,1,2.740194654428777,2.194999882314108,3.0,2020,12,31,2016,1,1,2016,5,6,0.0
3697,8,14,1693,8.27,1,1,1.0,0,5,779412.0,2.0,2015.0,1.4,31.0,1,2.89480635496403,2.3005730702330918,3.0,2020,10,11,2016,1,1,2016,1,28,0.0
3712,12,237,1707,11.22,1,14,2.0,0,6,779415.0,2.0,2013.0,1.8,22.0,1,2.8495497633759097,2.149433913499871,3.0,2021,6,16,2013,9,1,2013,9,27,0.0
3782,12,92,908,1.11,1,4,4.0,0,5,779412.0,2.0,2018.0,1.5,11.0,1,2.9433857931817817,2.8553201198372458,3.0,2020,11,25,2019,10,1,2019,11,19,0.0
3834,18,175,719,13.97,6,7,2.0,0,5,779412.0,2.0,2012.0,2.5,13.0,1,3.849296175519841,2.766319109226186,3.0,2021,7,7,2011,11,1,2011,12,28,0.0
3980,18,33,1739,10.16,1,1,2.0,1,5,779412.0,2.0,2013.0,2.0,13.0,1,3.711130063048756,2.700018029404946,3.0,2021,7,27,2012,9,1,2012,11,5,0.0
4014,26,566,1746,5.39,1,15,1.0,0,5,779413.0,1.0,2018.0,1.5,17.0,1,2.301584592660462,1.7884205679625405,3.0,2021,1,9,2018,3,1,2018,9,28,0.0
4049,17,480,1758,10.17,3,17,2.0,0,5,779412.0,2.0,2014.0,1.5,32.0,2,3.090132948975475,1.4586150226995167,3.0,2020,10,22,2013,12,1,2014,1,10,0.0
4070,23,68,450,7.81,6,48,2.0,4,5,779419.0,2.0,2011.0,1.6,6.0,1,2.3960754360813845,1.0986122886681098,3.0,2020,3,31,2012,5,1,2012,8,17,0.0
4114,11,359,1753,7.54,2,1,1.0,0,5,779412.0,3.0,2014.0,3.0,13.0,1,4.539884719289462,3.927896354584436,3.0,2021,1,17,2014,8,1,2016,12,29,1.0
4229,22,574,1790,17.38,9,1,2.0,2,5,779413.0,1.0,2009.0,1.8,21.0,1,2.916689066213538,1.3609765531356006,3.0,2021,5,8,2009,5,1,2009,6,16,0.0
4332,47,150,1808,10.64,5,19,2.0,0,5,779414.0,2.0,2012.0,2.0,17.0,1,2.615934912194404,1.4586150226995167,3.0,2020,9,1,2012,9,1,2013,1,14,0.0
4503,12,275,1845,9.27,8,1,1.0,0,7,779415.0,2.0,2013.0,2.4,22.0,1,3.2180755046974316,2.6026896854443837,3.0,2020,6,15,2013,3,1,2013,4,7,0.0
4559,18,510,1853,2.77,5,1,1.0,1,4,779412.0,2.0,2018.0,3.0,13.0,1,4.785823685681349,4.343805421853684,3.0,2020,7,25,2018,1,1,2018,5,22,2.0
4569,20,179,1857,6.98,2,1,1.0,0,5,779412.0,3.0,2015.0,3.0,15.0,1,4.908971640319756,4.2456340097683265,3.0,2021,4,30,2014,10,1,2015,2,5,2.0
4917,7,113,523,2.19,5,17,1.0,0,5,779412.0,2.0,2019.0,1.6,11.0,1,2.551786178627545,2.1016921506146558,3.0,2020,12,4,2018,8,1,2019,1,2,0.0
5033,15,22,75,7.07,6,14,1.0,0,5,779413.0,1.0,2017.0,1.5,3.0,1,2.733067964077498,2.1610215286722587,3.0,2020,5,30,2018,2,1,2018,2,24,0.0
5152,5,31,626,10.22,3,1,2.0,0,7,779416.0,2.0,2014.0,2.4,3.0,1,3.5260663637080247,2.7713379403381286,3.0,2020,9,17,2014,9,1,2015,1,21,0.0
5209,12,92,863,5.52,1,3,1.0,0,5,779415.0,2.0,2015.0,2.0,11.0,1,2.9433857931817817,2.574130161535676,3.0,2020,6,10,2015,8,1,2015,12,19,0.0
5336,20,118,1987,3.7,2,1,1.0,0,5,779412.0,2.0,2017.0,2.0,19.0,1,3.817712325956905,3.492864570187979,3.0,2020,10,23,2017,5,1,2017,7,7,1.0
5570,18,629,2017,2.71,1,19,1.0,0,5,779412.0,2.0,2019.0,1.5,3.0,2,3.6983346128846915,3.295836866004329,3.0,2020,9,27,2019,1,1,2019,7,11,1.0
5585,18,33,2015,1.74,1,7,4.0,0,5,779412.0,2.0,2020.0,2.0,13.0,1,3.508256453955563,3.4262151446374434,3.0,2021,6,23,2019,6,1,2019,11,18,1.0
5618,8,11,1016,8.26,2,19,1.0,0,5,779412.0,2.0,2014.0,1.8,16.0,1,3.2180755046974316,2.379546134130174,3.0,2021,2,5,2014,5,1,2014,5,27,0.0
5654,7,57,2028,10.27,5,1,2.0,1,5,779415.0,2.0,2010.0,2.5,5.0,1,3.2913825156549485,2.1610215286722587,3.0,2021,7,2,2011,4,1,2011,6,3,0.0
5679,20,179,2035,13.77,2,7,2.0,2,5,779412.0,3.0,2008.0,3.0,15.0,1,4.751864565138895,2.8622008809294686,3.0,2021,4,19,2009,1,1,2009,7,6,0.0
5684,13,383,2036,15.27,2,3,2.0,1,5,779416.0,2.0,2011.0,1.8,6.0,1,2.63834278867739,0.9858167945227653,3.0,2021,5,11,2011,6,1,2012,1,4,0.0
5857,10,645,2076,6.22,10,3,2.0,1,5,779413.0,1.0,2010.0,1.3,1.0,1,2.0149030205422647,0.7323678937132266,3.0,2021,6,12,2009,10,1,2009,12,21,0.0
5905,12,304,2085,2.08,1,5,1.0,1,5,779415.0,2.0,2017.0,1.5,11.0,1,3.2418107961506966,2.9796028916241073,3.0,2021,4,24,2018,5,1,2018,9,11,0.0
5913,12,304,2085,1.8,2,1,1.0,0,5,779415.0,2.0,2017.0,1.5,11.0,1,3.2418107961506966,2.9947317732204075,3.0,2020,12,8,2017,6,1,2017,7,10,0.0
6301,72,286,2140,3.33,6,4,2.0,0,5,779413.0,1.0,2017.0,2.0,32.0,1,2.7067159780890733,1.7578579175523736,3.0,2020,12,5,2016,7,1,2016,8,29,0.0
6322,7,113,2152,4.22,1,4,1.0,0,5,779415.0,2.0,2016.0,1.6,6.0,1,2.6026896854443837,1.998773638612381,3.0,2021,1,6,2017,1,1,2017,4,5,0.0
6440,8,219,2146,2.82,5,4,1.0,0,5,779412.0,2.0,2017.0,1.6,3.0,1,2.6665335208992764,2.3105532626432224,3.0,2020,4,20,2018,5,1,2018,8,6,0.0
6447,8,219,2146,4.1,7,3,1.0,0,5,779412.0,2.0,2017.0,1.6,3.0,1,2.6665335208992764,2.1838015570040787,3.0,2020,10,30,2018,1,1,2018,4,3,0.0
6515,71,660,2169,1.4,1,14,4.0,0,5,779412.0,2.0,2019.0,1.5,31.0,2,3.2950958507796098,2.833213344056216,3.0,2020,8,27,2019,1,1,2019,9,30,0.0
6652,9,111,135,1.76,2,1,4.0,1,5,779413.0,1.0,2018.0,1.5,7.0,1,2.509599262378372,2.2925347571405443,3.0,2021,6,3,2019,8,1,2019,9,25,0.0
6789,2,479,2212,2.26,4,27,1.0,1,5,779412.0,2.0,2018.0,2.0,30.0,1,2.916689066213538,2.5257286443082556,3.0,2020,5,7,2018,11,1,2019,1,3,0.0
6844,12,92,2231,0.82,2,3,1.0,0,5,779412.0,2.0,2018.0,2.0,25.0,2,3.1346242724206097,3.006672213592325,3.0,2020,6,17,2019,9,1,2019,10,17,0.0
6970,51,173,2250,9.47,5,17,1.0,0,7,779412.0,2.0,2011.0,1.6,6.0,1,2.2332350148592526,1.091923300517313,3.0,2021,3,24,2014,2,1,2014,2,27,0.0
7009,8,83,2262,6.19,1,1,2.0,0,4,779412.0,2.0,2015.0,3.0,32.0,1,3.5633162311385904,2.740840023925201,3.0,2021,1,14,2014,11,1,2015,3,16,0.0
7159,20,127,2274,2.02,4,17,4.0,0,5,779412.0,2.0,2020.0,1.5,19.0,1,3.4836986031738992,3.2771447329921766,3.0,2021,7,1,2019,11,1,2019,12,16,1.0
7163,71,279,2280,3.17,1,4,4.0,0,5,779413.0,1.0,2019.0,2.0,3.0,1,2.8724340572094973,2.6741486494265287,3.0,2021,3,23,2019,5,1,2019,6,4,0.0
7323,20,179,2319,0.56,3,1,4.0,0,5,779412.0,3.0,2020.0,3.0,19.0,1,4.564139836430099,4.603969465411573,3.0,2021,6,27,2020,1,1,2020,10,20,2.0
7351,32,418,2330,12.76,5,7,3.0,1,4,779415.0,3.0,2007.0,1.3,4.0,1,2.7650604558189897,1.840549633397487,3.0,2020,7,17,2007,6,1,2007,7,5,0.0
7379,50,180,703,24.6,3,17,2.0,0,5,779415.0,3.0,2010.0,2.5,17.0,1,3.331489969237335,1.791759469228055,3.0,2021,7,24,2010,1,1,2010,8,26,0.0
7381,50,180,703,24.6,3,17,2.0,0,5,779415.0,3.0,2010.0,2.5,17.0,1,3.331489969237335,1.7578579175523736,3.0,2021,6,13,2010,1,1,2010,8,26,0.0
7421,50,180,703,7.55,3,1,2.0,3,5,779412.0,2.0,2010.0,2.5,17.0,1,3.331489969237335,2.066862759472976,3.0,2020,7,9,2009,12,1,2010,2,4,0.0
7438,5,31,2320,7.09,3,1,1.0,0,7,779416.0,2.0,2014.0,3.0,3.0,1,3.6373229671995344,2.970414465569701,3.0,2020,7,20,2016,7,1,2016,10,31,0.0
7565,16,694,2375,0.91,1,19,4.0,0,7,779415.0,2.0,2019.0,2.5,3.0,1,3.4333418349887226,3.1170645587215158,3.0,2021,4,15,2020,4,1,2020,6,9,0.0
7603,5,31,54,5.76,6,1,4.0,0,7,779416.0,2.0,2018.0,2.0,3.0,1,3.26918863874179,3.1346242724206097,3.0,2021,2,23,2019,6,1,2019,8,1,0.0
7660,33,467,2403,9.06,5,17,3.0,0,5,779414.0,2.0,2007.0,1.6,17.0,1,2.3869262414277967,0.8241754429663494,3.0,2020,12,20,2008,1,1,2008,4,24,0.0
7679,16,534,2410,10.07,5,1,2.0,0,7,779415.0,3.0,2008.0,2.0,21.0,1,2.9590682891823996,1.7544036826842861,3.0,2020,11,27,2009,2,1,2009,5,22,0.0
7723,8,101,1292,8.01,2,14,2.0,0,5,779412.0,2.0,2013.0,1.8,31.0,1,3.1346242724206097,2.238579763018133,3.0,2021,1,18,2013,4,1,2013,5,7,0.0
7743,8,39,2421,10.31,6,1,1.0,1,5,779412.0,2.0,2015.0,1.8,3.0,1,3.3562000157314196,2.60859812213055,3.0,2020,12,26,2015,11,1,2016,1,5,0.0
7838,20,495,2440,4.32,2,1,2.0,2,7,779412.0,2.0,2013.0,3.0,21.0,1,3.8264651170664994,2.9391619220655967,3.0,2020,10,7,2014,11,1,2015,3,10,0.0
7943,11,15,2463,8.71,2,1,1.0,0,5,779412.0,2.0,2016.0,1.8,31.0,1,3.750209709265542,3.2386784521643803,3.0,2020,9,30,2016,4,1,2016,8,25,0.0
7948,11,15,2463,8.92,2,35,1.0,1,5,779412.0,2.0,2016.0,1.8,7.0,1,3.750209709265542,3.2180755046974316,3.0,2021,3,26,2016,3,1,2016,5,24,0.0
7951,11,15,2463,5.52,2,1,1.0,1,5,779412.0,2.0,2016.0,1.8,7.0,1,3.750209709265542,3.288401887516811,3.0,2021,7,4,2017,3,1,2017,5,25,1.0
7977,11,15,2463,5.52,2,1,1.0,0,5,779412.0,2.0,2016.0,1.8,7.0,1,3.750209709265542,3.331489969237335,3.0,2021,5,27,2017,3,1,2017,5,25,1.0
8004,11,63,2456,5.3,5,19,1.0,0,5,779412.0,2.0,2017.0,2.0,31.0,1,3.4333418349887226,3.044522437723423,3.0,2020,7,24,2017,5,1,2017,7,13,0.0
8280,20,179,2509,15.5,2,1,2.0,0,5,779412.0,3.0,2008.0,3.5,15.0,1,4.982235819574558,2.954910279033736,3.0,2020,10,3,2008,9,1,2008,12,27,0.0
8284,12,21,2511,16.59,8,14,3.0,0,5,779415.0,2.0,2007.0,1.3,11.0,1,2.4406063908914204,1.247032293786383,3.0,2020,10,10,2008,4,1,2008,8,22,0.0
8372,17,713,2520,3.87,6,4,1.0,0,5,779413.0,1.0,2013.0,1.5,32.0,1,2.5718485799218085,1.682688374173693,3.0,2020,7,30,2014,7,1,2014,8,26,0.0
8417,45,131,1233,12.76,2,19,1.0,0,5,779415.0,3.0,2015.0,2.0,3.0,1,3.3638415951183864,3.104586678466073,3.0,2020,6,22,2017,5,1,2017,6,8,0.0
8445,45,131,1233,1.66,3,1,1.0,1,5,779415.0,3.0,2015.0,2.0,3.0,1,3.3638415951183864,3.2108436531709366,3.0,2020,5,22,2018,1,1,2018,4,17,0.0
8635,44,124,2577,4.3,8,15,1.0,0,5,779412.0,2.0,2018.0,1.4,31.0,1,2.826129489167811,2.186051276738094,3.0,2020,1,16,2017,11,1,2017,12,26,0.0
8676,23,156,2575,4.7,1,17,1.0,0,5,779419.0,2.0,2014.0,1.4,6.0,1,2.1849270495258133,1.4996230464268938,3.0,2020,10,14,2015,10,1,2016,1,15,0.0
