carid,brand,serial,model,mileage,color,cityId,carCode,transferCount,seatings,country,maketype,modelyear,displacement,gearbox,oiltype,newprice,anonymousFeature1,anonymousFeature2,anonymousFeature3,anonymousFeature5,anonymousFeature6,anonymousFeature14,price,tradeTime_year,tradeTime_month,tradeTime_day,registerDate_year,registerDate_month,registerDate_day,length,width,high
24,15,22,24,8.11,6,5,1.0,0,5,779413.0,1.0,2016.0,1.5,6.0,1,12.38,1.0,5,2,17,1,1,4.8,2021,7,16,2016,6,1,4510.0,1852.0,1708.0
25,16,23,25,9.82,3,5,1.0,0,5,779415.0,2.0,2015.0,2.5,3.0,1,19.98,1.0,6,2,18,2,1,10.68,2021,7,26,2015,6,1,4870.0,1840.0,1450.0
26,13,18,26,3.43,2,3,2.0,0,5,779416.0,2.0,2009.0,1.8,3.0,1,14.89,1.0,2,2,14,2,1,3.0,2021,6,27,2010,4,1,4598.0,1797.0,1477.0
31,21,28,31,9.56,7,2,2.0,0,5,779413.0,1.0,2009.0,1.0,6.0,1,4.68,1.0,7,2,11,3,2,0.1,2021,6,2,2010,9,1,3601.0,1587.0,1527.0
32,22,29,32,1.25,1,3,1.0,0,5,779413.0,1.0,2017.0,1.5,16.0,1,10.78,1.0,2,2,22,4,1,6.75,2021,7,18,2018,8,1,4695.0,1848.0,1462.0
33,13,30,33,2.7,1,5,4.0,0,5,779416.0,2.0,2019.0,1.3,3.0,1,11.49,1.0,2,2,14,2,2,6.1,2021,7,24,2019,6,1,4630.0,1798.0,1485.0
34,5,31,34,6.68,3,1,1.0,0,7,779416.0,2.0,2014.0,2.4,3.0,1,20.9,1.0,10,2,5,6,2,10.65,2021,6,8,2016,12,1,5213.0,1847.0,1750.0
38,23,35,38,26.39,2,1,1.0,0,5,779419.0,2.0,2013.0,2.0,6.0,1,16.98,1.0,5,2,25,1,1,3.44,2021,5,14,2014,9,1,4345.0,1797.0,1730.0
40,24,36,40,0.83,1,1,4.0,1,5,779413.0,1.0,2019.0,2.4,12.0,1,11.29,1.0,9,2,26,5,2,6.0,2021,6,10,2018,10,1,5595.0,1950.0,1865.0
41,16,37,41,2.44,3,2,1.0,0,5,779415.0,2.0,2018.0,2.0,3.0,1,16.98,1.0,5,2,18,1,2,9.5,2021,6,26,2018,12,1,4633.0,1840.0,1530.0
45,25,41,45,8.0,1,3,1.0,0,5,779413.0,1.0,2014.0,2.0,12.0,1,11.88,1.0,5,2,28,1,2,3.3,2021,5,6,2014,7,1,4650.0,1850.0,1705.0
50,18,45,49,9.29,6,3,1.0,0,5,779412.0,3.0,2015.0,2.0,13.0,1,45.7,1.0,8,2,20,2,1,23.4,2021,6,29,2016,4,1,4915.0,1860.0,1487.0
51,8,16,50,12.43,5,3,2.0,0,5,779412.0,2.0,2012.0,1.6,6.0,1,11.88,1.0,2,2,8,2,1,3.5,2021,6,6,2012,5,1,4540.0,1775.0,1467.0
55,5,31,54,3.24,5,3,4.0,0,7,779416.0,2.0,2018.0,2.0,3.0,1,25.29,1.0,10,2,5,6,1,21.5,2021,4,28,2019,5,1,5256.0,1878.0,1776.0
56,10,49,55,3.25,1,2,1.0,1,5,779413.0,1.0,2018.0,1.5,4.0,1,5.99,1.0,1,2,11,1,1,3.9,2021,6,16,2018,6,1,4200.0,1760.0,1570.0
57,19,50,56,14.71,2,1,2.0,0,5,779413.0,1.0,2012.0,1.5,6.0,1,8.48,1.0,2,2,9,2,2,1.64,2021,6,1,2013,5,1,4650.0,1775.0,1455.0
64,23,55,63,7.23,1,3,1.0,0,5,779419.0,2.0,2016.0,1.6,3.0,1,11.98,1.0,2,2,25,2,1,6.62,2021,6,16,2016,12,1,4610.0,1800.0,1450.0
66,7,57,65,3.78,4,1,1.0,1,5,779415.0,2.0,2019.0,2.0,20.0,1,19.68,1.0,5,2,7,1,1,13.5,2021,6,16,2018,8,1,4675.0,1820.0,1722.0
67,13,58,66,6.4,3,3,2.0,1,5,779416.0,2.0,2010.0,1.4,1.0,1,7.58,1.0,4,2,14,3,2,1.98,2021,6,5,2011,1,1,3947.0,1690.0,1503.0
68,1,59,67,1.0,1,1,1.0,0,5,779413.0,1.0,2016.0,1.2,6.0,1,3.98,1.0,4,2,1,3,2,2.2,2021,4,10,2018,1,1,4032.0,1680.0,1450.0
72,12,43,47,12.84,6,5,1.0,1,5,779415.0,2.0,2016.0,1.5,11.0,1,8.98,1.0,2,3,13,2,2,5.2,2021,7,15,2016,9,1,4495.0,1705.0,1477.0
74,16,64,72,3.28,4,1,2.0,1,5,779415.0,3.0,2015.0,2.5,3.0,1,24.58,1.0,5,2,27,1,2,10.6,2021,7,13,2015,10,1,4555.0,1840.0,1710.0
75,15,65,73,1.08,2,3,4.0,0,5,779412.0,2.0,2021.0,1.5,3.0,1,14.68,1.0,3,2,17,1,1,11.7,2021,6,22,2021,1,1,4695.0,1885.0,1726.0
76,11,63,74,12.2,5,1,2.0,2,5,779412.0,2.0,2011.0,2.0,2.0,1,36.98,1.0,6,2,12,2,1,6.84,2021,4,23,2011,4,1,4763.0,1826.0,1426.0
78,11,63,76,6.18,1,1,1.0,0,5,779412.0,2.0,2018.0,2.0,7.0,1,30.7,1.0,6,2,12,2,2,18.6,2021,7,10,2018,5,1,4818.0,1843.0,1432.0
79,12,21,77,10.26,2,3,2.0,1,5,779415.0,2.0,2008.0,1.5,21.0,1,12.98,1.0,4,2,16,3,1,3.2,2021,7,7,2008,6,1,3920.0,1695.0,1525.0
85,23,68,83,5.81,1,5,1.0,0,5,779419.0,2.0,2018.0,1.6,3.0,1,8.49,1.0,2,2,25,2,1,4.9,2021,7,29,2018,6,1,4510.0,1765.0,1470.0
88,12,71,86,6.39,3,2,1.0,0,5,779415.0,2.0,2016.0,1.5,11.0,1,13.99,1.0,2,2,13,2,1,10.9,2021,6,26,2018,7,1,4649.0,1800.0,1416.0
89,26,72,87,3.42,1,1,1.0,0,5,779413.0,1.0,2018.0,1.5,12.0,1,12.88,1.0,5,2,22,1,2,5.95,2021,4,12,2018,7,1,4545.0,1855.0,1719.0
90,13,58,88,5.94,4,1,1.0,0,5,779416.0,2.0,2015.0,1.5,1.0,1,7.99,1.0,4,2,14,2,1,3.14,2021,6,14,2015,5,1,4300.0,1735.0,1502.0
94,25,60,92,7.97,1,1,1.0,1,5,779413.0,1.0,2017.0,1.6,17.0,1,7.79,1.0,1,1,28,1,1,5.5,2021,6,12,2018,1,1,4170.0,1810.0,1670.0
102,2,82,100,15.1,5,2,2.0,1,5,779415.0,2.0,2008.0,2.4,21.0,1,22.48,1.0,6,2,24,2,2,6.0,2021,5,11,2008,4,1,4825.0,1820.0,1485.0
104,8,83,102,3.98,1,3,1.0,0,5,779412.0,2.0,2018.0,1.8,16.0,1,26.88,1.0,6,2,8,2,1,17.4148,2021,5,27,2017,11,1,4812.0,1855.0,1417.0
105,8,8,103,2.52,1,3,1.0,0,5,779412.0,2.0,2019.0,1.5,6.0,1,8.48,1.0,2,2,8,2,1,5.275,2021,5,29,2019,1,1,4501.0,1704.0,1469.0
106,37,84,104,2.7,1,1,1.0,0,2,779412.0,2.0,2020.0,1.5,10.0,1,10.99,1.0,3,2,11,1,2,4.2,2021,7,25,2019,9,1,4750.0,1910.0,1710.0
108,1,1,23,6.42,1,3,1.0,1,5,779413.0,1.0,2017.0,1.5,1.0,1,7.58,1.0,1,2,1,1,1,4.7,2021,7,13,2017,12,1,4220.0,1740.0,1625.0
112,28,87,108,8.61,2,1,1.0,0,5,779419.0,2.0,2016.0,2.0,3.0,1,15.98,1.0,6,2,30,2,2,8.2,2021,7,4,2016,11,1,4855.0,1860.0,1475.0
114,9,89,110,15.42,2,1,2.0,2,5,779413.0,1.0,2009.0,2.0,6.0,1,8.98,1.0,5,2,9,1,2,1.5,2021,7,11,2009,11,1,4650.0,1800.0,1810.0
115,5,90,111,6.67,2,3,1.0,2,5,779416.0,2.0,2018.0,1.5,16.0,1,25.98,1.0,6,2,5,2,1,14.5,2021,6,11,2018,1,1,5018.0,1866.0,1459.0
117,12,92,113,14.73,5,1,2.0,0,5,779415.0,2.0,2009.0,2.4,22.0,1,21.98,1.0,6,2,16,2,1,5.54,2021,5,15,2009,3,1,4945.0,1845.0,1480.0
123,15,98,119,7.11,6,3,1.0,0,5,779413.0,1.0,2016.0,1.5,16.0,1,13.68,1.0,6,2,17,2,2,5.6,2021,7,8,2018,4,1,4850.0,1830.0,1485.0
124,12,99,120,1.27,1,3,4.0,1,5,779415.0,2.0,2019.0,1.5,11.0,1,14.59,1.0,1,2,13,1,1,12.0,2021,7,2,2020,4,1,4328.0,1772.0,1605.0
125,28,100,121,10.5,1,3,2.0,1,5,779419.0,2.0,2014.0,2.0,3.0,1,21.28,1.0,5,2,30,1,1,6.3,2021,7,8,2014,1,1,4440.0,1855.0,1660.0
131,23,35,127,4.81,1,3,1.0,1,5,779419.0,2.0,2018.0,1.6,16.0,1,17.99,1.0,5,2,25,1,1,11.3,2021,5,27,2017,11,1,4475.0,1850.0,1660.0
132,33,104,128,11.43,6,1,2.0,1,5,779414.0,2.0,2013.0,1.6,3.0,1,21.47,1.0,5,2,35,1,1,5.9,2021,7,22,2014,4,1,4428.0,1840.0,1652.0
133,40,105,129,14.66,1,1,2.0,3,5,779416.0,2.0,2006.0,2.7,4.0,1,33.9,1.0,8,2,41,2,2,2.99,2021,6,28,2008,3,1,5015.0,1880.0,1475.0
136,8,108,132,1.12,2,2,4.0,0,5,779412.0,2.0,2019.0,2.0,7.0,1,28.28,1.0,3,2,10,1,2,17.6,2021,5,20,2019,6,1,4712.0,1839.0,1673.0
138,43,110,134,0.82,1,1,2.0,0,5,779417.0,2.0,2015.0,1.4,16.0,1,12.88,1.0,2,2,44,2,2,4.09,2021,6,18,2016,8,1,4679.0,1850.0,1471.0
140,18,45,136,11.67,7,3,2.0,0,5,779412.0,3.0,2011.0,3.0,13.0,1,67.76,1.0,8,2,20,2,1,16.0,2021,6,5,2010,11,1,4899.0,1860.0,1464.0
144,2,114,140,1.08,3,1,1.0,0,4,779415.0,3.0,2014.0,5.7,3.0,1,49.0,1.0,9,2,45,5,1,44.2,2021,6,8,2019,4,1,5814.0,2029.0,1965.0
145,7,115,141,19.96,5,1,2.0,0,5,779415.0,2.0,2007.0,1.6,6.0,1,8.58,1.0,4,2,7,3,1,1.0,2021,5,6,2007,10,1,4178.0,1690.0,1565.0
148,42,107,144,0.71,2,1,4.0,0,5,779412.0,2.0,2020.0,4.0,13.0,1,184.0,1.0,11,2,43,1,2,210.0,2021,7,5,2020,11,1,4926.0,1983.0,1673.0
149,38,117,145,4.1,6,3,1.0,0,5,779421.0,3.0,2018.0,1.8,7.0,1,18.98,1.0,6,2,38,4,1,11.7,2021,5,20,2018,1,1,4861.0,1865.0,1489.0
151,4,4,147,3.67,9,3,1.0,0,4,779411.0,3.0,2016.0,1.5,3.0,1,23.38,1.0,4,2,4,3,1,16.28,2021,4,14,2017,2,1,3832.0,1727.0,1450.0
156,28,121,152,0.92,4,1,1.0,0,5,779419.0,2.0,2017.0,1.4,4.0,1,7.39,1.0,4,2,30,2,2,4.1,2021,7,3,2017,9,1,4300.0,1700.0,1460.0
157,25,122,153,4.98,1,3,2.0,0,5,779413.0,1.0,2014.0,1.4,6.0,1,6.09,1.0,4,2,28,3,2,2.35,2021,5,29,2015,6,1,3970.0,1730.0,1615.0
158,13,18,154,13.66,3,5,2.0,1,5,779416.0,2.0,2011.0,1.6,6.0,1,10.89,1.0,2,2,14,2,1,1.6,2021,7,17,2011,3,1,4598.0,1797.0,1477.0
159,32,123,155,2.45,1,3,2.0,0,5,779415.0,2.0,2013.0,1.0,4.0,1,5.99,1.0,7,2,34,3,1,2.8,2021,5,9,2014,5,1,3570.0,1600.0,1470.0
162,8,116,158,3.54,1,1,1.0,0,5,779412.0,2.0,2018.0,1.4,16.0,1,16.69,1.0,2,2,8,3,2,10.8,2021,6,30,2017,9,1,4348.0,1807.0,1574.0
172,2,134,168,6.03,1,3,1.0,0,5,779415.0,2.0,2016.0,1.6,2.0,1,12.48,1.0,2,2,24,2,2,6.98,2021,5,4,2015,11,1,4630.0,1775.0,1480.0
173,32,123,155,2.48,1,3,2.0,1,5,779415.0,2.0,2013.0,1.0,4.0,1,5.99,1.0,7,2,34,3,1,2.8,2021,6,16,2014,5,1,3570.0,1600.0,1470.0
174,32,123,169,8.65,3,5,2.0,1,5,779415.0,2.0,2009.0,1.0,6.0,1,4.99,1.0,7,2,34,3,2,0.65,2021,6,9,2010,5,1,3500.0,1600.0,1470.0
175,7,113,170,7.65,2,1,4.0,0,5,779415.0,2.0,2019.0,1.6,11.0,1,10.86,1.0,2,2,7,2,1,8.4,2021,4,20,2019,12,1,4631.0,1760.0,1503.0
176,8,135,171,3.08,1,3,1.0,0,5,779412.0,2.0,2016.0,1.6,9.0,1,10.39,1.0,4,2,10,3,1,6.8,2021,7,10,2017,11,1,3970.0,1682.0,1462.0
177,23,68,172,13.06,7,2,2.0,2,5,779419.0,2.0,2010.0,1.6,4.0,1,11.98,1.0,2,2,25,2,1,2.2,2021,5,18,2010,4,1,4542.0,1775.0,1490.0
179,23,56,174,5.45,1,2,1.0,0,5,779419.0,2.0,2017.0,1.6,16.0,1,16.98,1.0,6,2,25,2,1,9.64,2021,5,23,2017,6,1,4710.0,1820.0,1470.0
180,6,91,175,6.46,7,5,1.0,1,5,779413.0,1.0,2018.0,1.8,10.0,1,9.68,1.0,2,2,6,2,1,5.45,2021,7,13,2017,12,1,4725.0,1802.0,1478.0
183,10,138,178,1.77,1,5,4.0,0,5,779413.0,1.0,2019.0,1.5,6.0,1,7.49,1.0,1,2,11,1,2,3.8,2021,7,27,2019,4,1,4358.0,1830.0,1670.0
185,8,101,180,5.26,5,2,1.0,0,5,779412.0,2.0,2018.0,1.8,7.0,1,21.99,1.0,6,2,8,2,1,14.3,2021,7,29,2018,3,1,4866.0,1832.0,1464.0
186,23,56,82,10.22,1,5,1.0,0,5,779419.0,2.0,2014.0,1.8,3.0,1,15.98,1.0,6,2,25,2,2,6.2,2021,6,17,2014,9,1,4710.0,1820.0,1470.0
188,20,141,182,14.08,2,3,2.0,0,7,779412.0,3.0,2014.0,3.0,15.0,1,109.8,1.0,15,2,48,1,1,45.46,2021,5,7,2014,10,1,5120.0,1934.0,1850.0
189,27,142,183,11.25,5,1,2.0,1,5,779411.0,3.0,2012.0,2.0,3.0,1,62.8,1.0,3,2,29,1,2,14.5,2021,6,20,2012,4,1,4355.0,1900.0,1635.0
190,30,143,184,6.63,6,1,1.0,0,5,779418.0,2.0,2017.0,2.0,13.0,1,37.89,1.0,3,2,32,1,1,16.24,2021,6,29,2016,5,1,4644.0,1891.0,1713.0
192,28,145,186,27.92,5,2,2.0,0,5,779419.0,3.0,2012.0,2.2,3.0,3,23.48,1.0,3,2,49,1,2,4.6,2021,7,30,2012,5,1,4685.0,1885.0,1755.0
195,17,147,189,2.26,1,3,1.0,0,5,779413.0,1.0,2018.0,1.5,6.0,1,6.99,1.0,2,2,19,2,2,3.68,2021,5,29,2017,12,1,4680.0,1765.0,1490.0
197,8,14,191,15.19,5,1,2.0,2,5,779412.0,2.0,2017.0,1.6,3.0,1,14.78,1.0,2,2,8,2,2,2.24,2021,6,8,2009,9,1,4544.0,1760.0,1461.0
198,5,148,192,2.41,1,1,1.0,0,5,779416.0,2.0,2017.0,1.4,3.0,1,14.99,1.0,1,2,5,1,1,6.2,2021,7,7,2017,8,1,4278.0,1781.0,1648.0
199,8,101,193,7.51,5,1,2.0,0,5,779412.0,2.0,2012.0,1.8,16.0,1,23.28,1.0,6,2,8,2,1,8.2,2021,5,11,2012,4,1,4865.0,1820.0,1475.0
202,12,92,196,4.82,2,3,1.0,0,5,779415.0,2.0,2018.0,1.5,11.0,1,18.98,1.0,6,2,16,2,1,15.5,2021,5,29,2018,7,1,4893.0,1862.0,1449.0
203,47,150,197,11.52,5,1,2.0,0,5,779414.0,2.0,2011.0,1.6,17.0,1,11.88,1.0,2,2,51,2,1,1.79,2021,7,30,2010,8,1,4556.0,1773.0,1486.0
204,8,16,198,9.05,5,1,1.0,0,5,779412.0,2.0,2016.0,1.4,16.0,1,15.38,1.0,2,2,8,2,1,6.7,2021,4,16,2016,3,1,4562.0,1793.0,1468.0
205,9,151,199,1.85,1,3,2.0,0,5,779413.0,1.0,2016.0,1.5,6.0,1,6.89,1.0,1,2,9,1,1,2.8,2021,7,5,2016,3,1,3898.0,1729.0,1621.0
208,23,154,202,10.71,6,1,2.0,0,5,779419.0,2.0,2012.0,1.6,3.0,1,13.28,1.0,2,2,25,2,1,4.34,2021,6,18,2013,12,1,4570.0,1775.0,1445.0
210,23,156,204,5.85,5,2,2.0,0,5,779419.0,2.0,2010.0,1.4,4.0,1,8.69,1.0,4,2,25,2,2,3.4,2021,7,25,2013,11,1,4340.0,1700.0,1460.0
212,49,158,206,4.71,2,1,1.0,1,7,779416.0,3.0,2016.0,2.4,3.0,1,29.99,1.0,3,2,53,1,2,13.2,2021,7,8,2016,6,1,4910.0,1878.0,1751.0
217,33,162,211,7.61,5,1,2.0,0,5,779414.0,2.0,2010.0,1.6,6.0,1,9.28,1.0,2,2,35,2,1,1.5,2021,4,11,2011,3,1,4481.0,1746.0,1526.0
218,38,117,212,3.73,1,3,1.0,0,5,779421.0,3.0,2016.0,1.4,16.0,1,17.98,1.0,6,2,38,4,1,9.3,2021,7,10,2016,12,1,4861.0,1865.0,1489.0
220,8,163,214,4.84,3,3,1.0,3,7,779412.0,2.0,2018.0,1.4,16.0,1,19.48,1.0,14,2,10,6,1,13.14,2021,4,17,2017,8,1,4537.0,1834.0,1682.0
221,50,164,215,8.23,5,1,2.0,1,5,779415.0,3.0,2010.0,2.0,11.0,1,26.48,1.0,6,2,54,9,2,8.5,2021,7,4,2009,8,1,4775.0,1780.0,1535.0
222,8,16,216,9.53,5,3,2.0,0,5,779412.0,2.0,2008.0,1.6,3.0,1,13.08,1.0,2,2,8,2,1,2.49,2021,4,21,2009,5,1,4540.0,1775.0,1467.0
224,12,99,218,17.29,3,1,1.0,1,5,779415.0,2.0,2015.0,1.8,11.0,1,16.28,1.0,1,2,13,1,1,8.4,2021,7,7,2016,8,1,4270.0,1772.0,1605.0
229,7,166,223,9.81,2,3,1.0,1,5,779415.0,2.0,2016.0,2.0,11.0,1,18.68,1.0,6,2,7,2,2,10.67,2021,6,23,2016,9,1,4891.0,1830.0,1490.0
232,12,129,162,1.26,2,2,4.0,0,5,779415.0,2.0,2019.0,1.0,11.0,1,10.98,1.0,2,2,16,2,2,7.0,2021,7,29,2019,10,1,4756.0,1804.0,1509.0
235,11,168,228,6.15,3,1,2.0,0,4,779412.0,3.0,2012.0,1.4,16.0,1,24.98,1.0,4,2,39,3,1,7.1,2021,6,30,2013,6,1,3954.0,1740.0,1416.0
239,39,96,232,6.75,4,2,1.0,0,7,779413.0,1.0,2017.0,1.5,13.0,1,9.89,1.0,3,1,40,1,2,3.68,2021,6,8,2017,12,1,4715.0,1830.0,1780.0
240,12,71,233,9.43,5,3,2.0,0,5,779415.0,2.0,2012.0,1.8,22.0,1,13.98,1.0,2,2,13,2,1,5.48,2021,6,10,2012,6,1,4535.0,1755.0,1450.0
243,8,171,236,0.01,1,3,4.0,0,5,779412.0,2.0,2019.0,1.5,9.0,1,9.79,1.0,2,2,10,2,1,7.1,2021,4,27,2020,3,1,4475.0,1706.0,1469.0
245,33,119,238,4.15,5,2,1.0,0,5,779414.0,2.0,2018.0,1.6,3.0,1,12.77,1.0,2,2,35,2,1,6.2,2021,6,29,2018,1,1,4590.0,1820.0,1488.0
248,20,127,241,12.18,5,2,1.0,1,5,779412.0,2.0,2015.0,2.0,15.0,1,36.9,1.0,6,2,21,2,1,17.88,2021,6,27,2014,10,1,4783.0,1810.0,1442.0
249,8,14,242,5.27,1,3,1.0,0,5,779412.0,2.0,2018.0,1.4,16.0,1,16.38,1.0,2,2,8,2,1,9.98,2021,5,17,2019,4,1,4655.0,1780.0,1453.0
253,2,134,245,4.49,1,1,1.0,0,5,779415.0,2.0,2017.0,1.2,2.0,1,12.68,1.0,2,2,24,2,1,8.24,2021,6,7,2018,9,1,4630.0,1775.0,1480.0
254,8,177,246,0.34,7,5,1.0,0,5,779412.0,2.0,2019.0,1.4,16.0,1,18.58,1.0,5,2,8,1,2,11.65,2021,7,18,2019,8,1,4318.0,1819.0,1582.0
257,34,76,249,8.21,6,2,1.0,0,5,779413.0,1.0,2016.0,1.6,12.0,1,7.89,1.0,2,2,36,2,1,2.6,2021,7,10,2016,9,1,4698.0,1806.0,1477.0
258,23,55,63,3.88,1,3,1.0,0,5,779419.0,2.0,2016.0,1.6,3.0,1,11.98,1.0,2,2,25,2,2,6.98,2021,5,20,2017,10,1,4610.0,1800.0,1450.0
260,22,178,251,4.71,7,1,2.0,0,5,779413.0,1.0,2011.0,1.3,1.0,1,7.67,1.0,4,2,22,3,2,1.94,2021,7,1,2012,6,1,3999.0,1728.0,1517.0
261,2,10,252,8.68,1,1,2.0,0,5,779415.0,2.0,2014.0,1.5,4.0,1,8.78,1.0,4,2,2,2,1,5.14,2021,4,9,2016,4,1,4410.0,1700.0,1490.0
264,18,136,255,4.23,6,5,4.0,0,5,779412.0,2.0,2019.0,2.0,13.0,1,30.98,1.0,5,2,23,1,2,20.5,2021,7,13,2018,11,1,4565.0,1821.0,1624.0
266,5,67,257,7.82,1,3,2.0,0,5,779416.0,2.0,2015.0,2.0,3.0,1,17.89,1.0,6,2,5,2,2,7.52,2021,4,14,2015,2,1,4843.0,1856.0,1484.0
267,26,72,258,3.48,4,3,1.0,0,5,779413.0,1.0,2016.0,1.5,16.0,1,14.88,1.0,5,2,22,1,2,6.865,2021,5,12,2016,9,1,4545.0,1855.0,1719.0
268,50,180,259,5.54,1,1,2.0,0,5,779415.0,3.0,2013.0,2.5,5.0,1,29.78,1.0,5,2,54,1,1,10.7,2021,4,20,2013,5,1,4595.0,1810.0,1735.0
275,25,60,266,3.52,6,1,2.0,0,5,779413.0,1.0,2016.0,1.6,17.0,1,9.39,1.0,1,2,28,1,2,4.61,2021,5,21,2016,9,1,4160.0,1810.0,1670.0
278,9,111,269,2.76,6,2,1.0,0,5,779413.0,1.0,2018.0,1.5,7.0,1,11.3,1.0,5,2,9,1,1,7.78,2021,6,18,2019,1,1,4649.0,1852.0,1710.0
279,2,187,270,14.69,5,4,3.0,0,5,779415.0,2.0,2009.0,2.4,6.0,1,23.68,1.0,5,2,2,1,1,4.85,2021,7,31,2009,4,1,4630.0,1855.0,1720.0
281,18,33,272,15.18,1,1,1.0,0,5,779412.0,2.0,2015.0,2.0,13.0,1,34.98,1.0,6,2,23,2,2,15.2,2021,5,19,2015,5,1,4734.0,1811.0,1453.0
282,6,188,273,0.42,3,2,4.0,0,6,779413.0,1.0,2019.0,1.8,3.0,1,11.98,1.0,14,2,6,6,2,8.7,2021,6,6,2019,12,1,4706.0,1909.0,1690.0
284,40,105,275,14.6,5,1,3.0,0,5,779416.0,2.0,2006.0,3.5,21.0,1,39.5,1.0,8,2,41,2,1,2.99,2021,6,30,2006,12,1,5015.0,1880.0,1475.0
285,28,100,276,13.11,1,1,2.0,0,5,779419.0,2.0,2015.0,2.0,3.0,1,17.78,1.0,5,2,30,1,1,6.3,2021,5,18,2014,12,1,4450.0,1855.0,1660.0
286,8,11,277,5.27,6,1,2.0,1,5,779412.0,2.0,2013.0,1.8,16.0,1,23.98,1.0,6,2,10,2,2,8.85,2021,5,27,2013,2,1,4870.0,1834.0,1472.0
288,18,175,279,6.92,6,1,2.0,0,5,779412.0,2.0,2013.0,2.0,13.0,1,42.86,1.0,8,2,23,2,2,14.8,2021,6,1,2013,3,1,5039.0,1860.0,1492.0
289,53,189,280,13.97,1,3,2.0,0,5,779413.0,1.0,2014.0,2.0,3.0,1,11.98,1.0,6,2,59,2,1,3.14,2021,5,14,2015,7,1,4800.0,1820.0,1472.0
294,7,113,284,8.46,2,3,2.0,0,5,779415.0,2.0,2014.0,1.6,11.0,1,13.78,1.0,2,2,7,2,1,6.28,2021,5,15,2014,4,1,4610.0,1760.0,1495.0
295,28,192,285,1.18,1,2,4.0,0,5,779419.0,2.0,2019.0,1.4,3.0,1,7.98,1.0,1,2,30,1,2,6.0,2021,7,10,2019,5,1,4100.0,1735.0,1533.0
297,3,194,287,14.8,6,2,2.0,0,5,779416.0,2.0,2011.0,1.3,6.0,1,7.99,1.0,4,2,3,2,2,0.7,2021,7,6,2011,5,1,4297.0,1722.0,1467.0
302,7,113,284,7.66,5,3,2.0,0,5,779415.0,2.0,2014.0,1.6,11.0,1,13.78,1.0,2,2,7,2,1,4.92,2021,6,30,2014,12,1,4610.0,1760.0,1495.0
