carid,pushDate,pushPrice,updatePriceTimeJson,pullDate,withdrawDate
29168,2020/7/10,42.8,{},2020/8/3,2020/8/3
48056,2020/5/21,18.9,{},2020/7/5,2020/7/5
68725,2021/6/22,4.98,{"2021-06-29": "4.88"},2021/7/1,2021/7/1
30611,2021/7/4,3.5,{},2021/7/7,2021/7/7
66239,2020/6/7,1.25,{},2020/7/1,2020/7/1
38791,2020/12/6,11.2,{},2020/12/13,2020/12/13
59378,2020/12/15,15,{},2021/4/6,2021/4/6
48202,2020/10/4,25.8,{},2020/10/23,2020/10/23
44765,2020/9/11,7.15,"{""2020-09-16"": ""6.99"", ""2020-10-09"": ""6.88"", ""2020-10-15"": ""6.8""}",2020/10/19,2020/10/19
25308,2020/12/8,6.3,{},2020/12/18,2020/12/18
1366,2021/4/29,4,"{""2021-05-10"": ""3.95"", ""2021-05-22"": ""2.94""}",2021/5/22,2021/5/22
2302,2021/1/5,5.2,{},2021/2/21,2021/2/21
26824,2021/1/6,8.8,{},2021/1/12,2021/1/12
17036,2021/6/29,6.8,{},2021/6/30,2021/6/30
47749,2020/5/10,3.6,{},2020/5/13,2020/5/13
7622,2021/6/25,12.8,{},2021/7/6,2021/7/6
63018,2021/5/15,88.6,"{""2021-05-17"": ""6.98"", ""2021-05-22"": ""6.87""}",2021/5/30,2021/5/30
666,2021/5/15,17.38,{"2021-06-23": "16.4999"},2021/9/29,2021/9/29
26456,2021/6/18,5.9,{},2021/7/1,2021/7/1
53921,2020/2/27,14.68,{},2020/3/12,2020/3/12
46027,2020/5/18,11.58,{},2020/5/25,2020/5/25
10541,2021/4/7,10.8,{},2021/4/8,2021/4/8
50002,2021/3/19,27.8,{},2021/4/2,2021/4/2
392,2021/7/4,2.4,{},2021/7/27,2021/7/27
1282,2021/7/2,8.4,{},2021/9/23,2021/9/23
12959,2020/6/5,7,{},2020/6/8,2020/6/8
49520,2020/11/4,4.28,"{""2020-11-11"": ""4.18"", ""2020-11-16"": ""4.1""}",2020/11/17,2020/11/17
7163,2021/3/23,13.5,{},2021/4/9,2021/4/9
40238,2021/3/18,14.9,{},2021/3/23,2021/3/23
1007,2021/4/21,3.5,{},2021/4/22,2021/4/22
850,2021/5/11,13.1,{},2021/5/11,2021/5/11
65119,2020/2/20,3.98,{},2020/4/29,2020/4/29
9584,2020/9/3,18.88,"{""2020-09-08"": ""18.78"", ""2020-09-11"": ""18.5"", ""2020-09-20"": ""18.38""}",2020/9/20,2020/9/20
9522,2020/9/10,4.38,{"2020-09-21": "3.98"},2020/9/26,2020/9/26
9462,2021/6/13,12.5,"{""2021-06-16"": ""12"", ""2021-06-17"": ""11.8"", ""2021-06-18"": ""11.5"", ""2021-06-23"": ""11"", ""2021-06-25"": ""10.8"", ""2021-07-01"": ""10.2""}",2021/7/1,2021/7/1
66673,2020/5/13,6.38,{},2020/6/26,2020/6/26
69765,2020/8/8,6.88,{"2020-08-10": "6.38"},2020/8/13,2020/8/13
56254,2020/11/10,38.88,{},2020/11/15,2020/11/15
7205,2021/7/13,13.8,{},2021/8/6,2021/8/6
46063,2020/12/15,9.98,"{""2020-12-16"": ""9.88"", ""2020-12-18"": ""9.7"", ""2020-12-20"": ""9.5"", ""2021-01-06"": ""9.4"", ""2021-01-09"": ""9.2""}",2021/2/4,2021/2/4
37262,2021/5/18,16.28,{},2021/6/2,2021/6/2
477,2021/7/26,27.5,{},2021/8/24,2021/8/24
59416,2020/7/20,15.28,{"2020-08-17": "14.58"},2020/8/20,2020/8/20
22441,2021/2/21,25,{},2021/2/23,2021/2/23
67241,2020/1/4,28.8,{"2020-01-10": "28.6"},2020/3/4,2020/3/4
12163,2021/4/10,17.88,{},2021/5/18,2021/5/18
28972,2020/6/19,0.99,{},2020/6/27,2020/6/27
53569,2020/7/13,1.88,{"2020-07-19": "1.68"},2020/7/19,2020/7/19
14509,2021/5/19,4.8,{},2021/5/20,2021/5/20
40400,2020/11/8,23.8,{"2020-11-10": "23.5"},2020/11/21,2020/11/21
71705,2020/9/21,17.9,{"2020-09-25": "17.3799"},2020/10/27,2020/10/27
48851,2020/11/30,17,{"2020-12-17": "15.8"},2020/12/23,2020/12/23
20043,2021/7/19,11.6,{},2021/7/26,2021/7/26
62948,2020/9/26,40,{},2020/10/29,2020/10/29
47232,2020/9/6,3.4,{},2020/9/7,2020/9/7
69567,2021/4/14,17.6,{"2021-04-25": "15.88"},2021/6/24,2021/6/24
70528,2020/6/24,6.98,"{""2020-07-04"": ""6.18"", ""2020-07-12"": ""5.82""}",2020/7/19,2020/7/19
24422,2020/7/29,19.5,{},2020/8/7,2020/8/7
18114,2020/6/15,9.8,{},2020/6/27,2020/6/27
55340,2021/5/7,14.38,{},2021/8/3,2021/8/3
26517,2020/9/7,28.7,{"2020-09-11": "28.8"},2020/9/18,2020/9/18
11439,2020/11/30,6.88,{"2020-12-02": "6.6"},2020/12/9,2020/12/9
10354,2021/5/26,22.88,"{""2021-05-27"": ""22.3799"", ""2021-05-29"": ""21.8"", ""2021-06-04"": ""22""}",2021/6/7,2021/6/7
937,2021/6/19,15.3,{},2021/7/10,2021/7/10
41591,2021/3/10,9.6,{},2021/6/22,2021/6/22
20797,2020/5/5,2.1,{},2020/5/6,2020/5/6
66971,2021/7/2,26.98,{},2021/7/5,2021/7/5
53877,2020/10/22,8.5,{},2020/11/3,2020/11/3
24621,2020/7/11,5.68,{},2020/7/16,2020/7/16
24081,2021/3/18,8.5,{},2021/3/20,2021/3/20
65870,2020/8/18,22.5799,{"2020-08-24": "21"},2020/8/31,2020/8/31
63270,2021/7/16,1.28,{},2021/7/29,2021/7/29
58874,2021/7/12,4.8,{},2021/7/23,2021/7/23
49686,2021/6/16,9.98,"{""2021-06-20"": ""9.6"", ""2021-06-21"": ""9.58"", ""2021-06-23"": ""9.28"", ""2021-06-27"": ""8.9799""}",2021/7/7,2021/7/7
50456,2021/1/7,2.4,{},2021/1/19,2021/1/19
21627,2021/2/28,9.8,{},2021/3/14,2021/3/14
63056,2021/7/19,3.28,{},2021/7/31,2021/7/31
4552,2020/11/24,1.8,{"2020-12-07": "1.6"},2020/12/8,2020/12/8
37094,2020/7/29,10,{},2020/9/13,2020/9/13
46593,2020/6/25,7.5,{},2020/7/7,2020/7/7
48915,2021/6/6,19.5,{"2021-06-12": "19"},2021/6/27,2021/6/27
11004,2020/8/9,9.8,{},2020/8/26,2020/8/26
34531,2020/12/1,4.8,{"2020-12-05": "4.6"},2020/12/14,2020/12/14
3880,2020/6/6,11.8,"{""2020-06-11"": ""11.6"", ""2020-06-12"": ""11.5"", ""2020-06-23"": ""11"", ""2020-07-04"": ""10.8""}",2020/7/13,2020/7/13
473,2021/6/9,10.38,{"2021-06-23": "9.64"},2021/8/2,2021/8/2
34875,2020/9/20,13.68,{"2020-09-21": "13.18"},2020/9/27,2020/9/27
20302,2021/1/31,21.8,{},2021/2/20,2021/2/20
10001,2020/4/29,18.8,{"2020-05-19": "17.8"},2020/6/24,2020/6/24
13097,2021/1/4,2.99,{},2021/2/2,2021/2/2
72180,2021/4/10,5.8,"{""2021-04-12"": ""5.68"", ""2021-04-16"": ""5.48"", ""2021-04-18"": ""5.45"", ""2021-04-19"": ""5.75""}",2021/4/22,2021/4/22
43322,2020/4/19,3.5,{},2020/5/30,2020/5/30
21719,2020/12/27,0.98,{},2021/1/2,2021/1/2
25113,2021/1/19,13.2,{},2021/1/27,2021/1/27
55207,2020/12/20,4.91,"{""2020-12-22"": ""4.5"", ""2021-01-13"": ""4.3""}",2021/2/20,2021/2/20
59313,2021/6/17,4.3,{},2021/6/18,2021/6/18
63871,2020/9/19,4.98,{},2020/9/23,2020/9/23
59745,2021/4/13,26.2,{},2021/4/22,2021/4/22
44629,2020/9/6,36.1,{},2020/9/12,2020/9/12
67322,2020/11/10,15.18,"{""2020-11-11"": ""15"", ""2020-11-16"": ""14.8"", ""2020-12-04"": ""14.7""}",2020/12/27,2020/12/27
25170,2020/6/17,21.8,"{""2020-07-15"": ""21.5"", ""2020-07-26"": ""18.8""}",2020/8/3,2020/8/3
48830,2020/9/14,41.8,{},2020/10/10,2020/10/10
38950,2021/6/17,3.3,"{""2021-07-08"": ""2.88"", ""2021-07-31"": ""2.78""}",2021/8/3,2021/8/3
59001,2020/3/27,3.8,{"2020-04-13": "3.65"},2020/4/18,2020/4/18
54361,2020/11/12,3.5,"{""2020-11-14"": ""3.3"", ""2020-11-15"": ""3.2""}",2020/11/16,2020/11/16
50115,2021/5/15,2.5,{},2021/5/16,2021/5/16
71036,2020/4/13,11,{},2020/4/27,2020/4/27
34733,2020/4/26,26.68,{},2020/8/21,2020/8/21
4535,2020/7/2,1.88,{},2020/8/12,2020/8/12
42761,2021/7/29,24.8,{},2021/8/18,2021/8/18
38980,2020/6/30,6.8,{},2020/6/30,2020/6/30
23964,2020/4/8,9.7,{},2020/4/19,2020/4/19
27951,2021/4/17,77.5,{"2021-04-27": "75"},2021/5/3,2021/5/3
2935,2020/12/15,14.2,{},2020/12/24,2020/12/24
72106,2020/11/27,8.99,{},2020/12/8,2020/12/8
44245,2020/9/26,4.2,{},2020/10/2,2020/10/2
49752,2020/12/25,3.8,{},2020/12/27,2020/12/27
50546,2021/6/30,17.58,{},2021/7/6,2021/7/6
26859,2021/3/10,85.5,{"2021-04-13": "84.5"},2021/4/16,2021/4/16
14177,2021/3/7,4.8,{},2021/3/13,2021/3/13
4394,2020/4/8,1.68,{},2020/6/13,2020/6/13
50804,2020/1/4,15.9,"{""2020-01-12"": ""15.5"", ""2020-01-20"": ""14.9""}",2020/2/6,2020/2/6
38295,2020/10/17,10.98,{},2020/10/31,2020/10/31
4899,2021/3/4,4.5,{},2021/4/2,2021/4/2
506,2021/6/1,34.5,{},2021/7/10,2021/7/10
58229,2021/6/20,9.2,{},2021/6/28,2021/6/28
50726,2020/8/1,18.98,"{""2020-08-18"": ""17.8"", ""2020-08-19"": ""17.5"", ""2020-08-30"": ""17""}",2020/11/1,2020/11/1
52610,2020/11/4,0.88,{},2020/11/16,2020/11/16
67974,2020/8/27,10.98,{},2020/9/17,2020/9/17
64467,2021/6/22,10.8,{},2021/7/26,2021/7/26
67130,2020/7/30,12.36,{},2020/8/9,2020/8/9
19278,2021/6/16,3.65,{},2021/6/18,2021/6/18
41202,2020/9/22,9.9,{"2020-09-25": "8.9"},2020/9/28,2020/9/28
33969,2020/3/12,8.5,{},2020/5/15,2020/5/15
73320,2021/4/13,19.6,"{""2021-04-14"": ""19.8799"", ""2021-04-23"": ""19.5"", ""2021-04-25"": ""19""}",2021/4/28,2021/4/28
36745,2021/7/22,14.6,{},2021/10/16,2021/10/16
56560,2020/2/23,8.6,{},2020/3/14,2020/3/14
1046,2021/7/11,11.75,{},2021/8/16,2021/8/16
1404,2021/6/16,2.09,{},2021/6/16,2021/6/16
23426,2020/12/9,6.6,{"2020-12-21": "6.5"},2021/1/2,2021/1/2
665,2021/7/26,9.7,{},2021/7/29,2021/7/29
69612,2021/5/7,7.2,{"2021-05-14": "6.98"},2021/5/28,2021/5/28
61299,2021/4/4,14.48,"{""2021-05-06"": ""13.98"", ""2021-05-13"": ""13.68""}",2021/5/15,2021/5/15
45899,2020/1/14,38.8,{},2020/2/17,2020/2/17
2923,2020/7/4,21.88,{"2020-07-11": "20.8799"},2020/7/11,2020/7/11
26152,2020/11/10,14.5,{},2020/11/20,2020/11/20
11793,2020/10/8,15.98,{},2020/10/17,2020/10/17
5722,2021/7/12,6.8,{},2021/7/17,2021/7/17
19209,2020/10/11,7.28,{"2020-10-15": "7.08"},2020/10/20,2020/10/20
16665,2020/10/2,16.8,{},2020/10/5,2020/10/5
3692,2021/1/30,8.3,{"2021-02-01": "8"},2021/3/5,2021/3/5
50900,2020/7/13,6.3,{},2020/7/17,2020/7/17
3264,2020/6/12,5.15,{},2020/8/3,2020/8/3
1426,2021/5/28,6.2,{},2021/6/2,2021/6/2
51788,2020/10/28,8.2,{},2020/10/30,2020/10/30
7958,2020/6/22,24,{},2020/6/26,2020/6/26
24012,2021/1/21,15.35,{"2021-02-03": "14.96"},2021/2/20,2021/2/20
29670,2020/12/19,7.28,{},2021/1/3,2021/1/3
66640,2020/10/17,7.9,{},2020/10/25,2020/10/25
67369,2020/8/1,58,{},2020/8/16,2020/8/16
18831,2020/10/4,52.8,{},2020/11/4,2020/11/4
60418,2021/2/25,12.5,{},2021/2/27,2021/2/27
25537,2020/6/13,17.5,{},2020/6/30,2020/6/30
1378,2021/6/18,1.74,{},2021/6/18,2021/6/18
52986,2020/1/3,11.6,{},2020/2/8,2020/2/8
29184,2020/12/19,1.1,{},2021/1/1,2021/1/1
57292,2021/7/21,5.4,{},2021/10/9,2021/10/9
57818,2020/12/27,13.68,{},2021/1/17,2021/1/17
58487,2020/5/20,23,{"2020-05-22": "19"},2020/5/23,2020/5/23
43336,2020/5/9,3.38,{},2020/5/25,2020/5/25
34508,2021/5/11,24.98,{},2021/5/18,2021/5/18
67176,2021/3/16,9.98,{},2021/3/16,2021/3/16
39034,2021/1/24,7.98,{},2021/1/24,2021/1/24
25526,2020/7/4,12.5,{},2020/7/18,2020/7/18
25462,2020/8/11,5.98,{},2020/9/11,2020/9/11
2414,2020/11/5,3.2,{},2020/12/10,2020/12/10
13951,2020/3/25,7,{"2020-03-27": "6.9"},2020/3/28,2020/3/28
66349,2020/5/11,16.8,{},2020/5/27,2020/5/27
66126,2020/10/10,9.38,{"2020-10-18": "9.98"},2020/10/29,2020/10/29
51370,2021/7/16,11.58,{},2021/8/15,2021/8/15
35077,2020/6/20,15.5,{},2020/7/3,2020/7/3
10559,2020/4/6,22.98,{},2020/5/12,2020/5/12
18951,2020/6/16,19.3,{},2020/6/18,2020/6/18
36550,2020/9/9,10.8,{},2020/10/1,2020/10/1
40063,2021/5/22,3.68,{"2021-06-17": "3.58"},2021/6/21,2021/6/21
24280,2020/12/22,36.98,{},2021/3/3,2021/3/3
73734,2020/3/3,7.8,{},2020/3/9,2020/3/9
23620,2020/5/10,17.38,{},2020/5/16,2020/5/16
2273,2020/5/28,7.3,{},2020/5/28,2020/5/28
9228,2020/11/15,1.38,{"2020-11-16": "1.28"},2020/11/16,2020/11/16
1281,2021/7/6,6.8,{},2021/7/15,2021/7/15
18044,2021/3/28,7.98,{},2021/3/28,2021/3/28
25800,2021/5/7,3.3,{},2021/8/13,2021/8/13
72462,2020/7/11,5.88,{},2020/7/19,2020/7/19
36608,2020/3/10,9.5,"{""2020-03-17"": ""9.1"", ""2020-03-20"": ""8.8""}",2020/3/25,2020/3/25
63704,2020/7/5,10.88,{},2020/9/10,2020/9/10
55549,2021/5/24,4.68,{},2021/5/28,2021/5/28
3003,2020/11/5,6.18,{},2020/12/7,2020/12/7
48315,2020/6/18,12.38,"{""2020-07-01"": ""12.28"", ""2020-08-14"": ""11.88""}",2020/8/30,2020/8/30
28991,2020/12/3,16.28,{},2020/12/23,2020/12/23
71499,2021/4/27,23,{},2021/4/29,2021/4/29
57169,2020/2/10,9.6,"{""2020-02-25"": ""9.4"", ""2020-02-29"": ""8.8""}",2020/3/6,2020/3/6
838,2021/6/16,38.6,"{""2021-06-20"": ""37.9"", ""2021-07-13"": ""35.8""}",2021/7/17,2021/7/17
58048,2020/6/19,5.5,{},2020/7/15,2020/7/15
7491,2020/8/8,7.18,{"2020-08-10": "6.88"},2020/8/19,2020/8/19
2145,2020/4/18,6.3,{},2020/4/19,2020/4/19
7552,2020/7/7,4.18,{},2020/9/5,2020/9/5
46245,2021/6/27,5.18,{"2021-07-04": "4.88"},2021/7/16,2021/7/16
42860,2021/2/24,39.98,"{""2021-02-25"": ""37.5"", ""2021-03-01"": ""35.5"", ""2021-03-14"": ""34.8""}",2021/3/14,2021/3/14
51425,2021/6/25,8.3,{},2021/6/26,2021/6/26
32121,2020/7/30,13.6,{},2020/8/7,2020/8/7
21525,2021/1/6,6.38,{},2021/2/4,2021/2/4
47868,2021/1/29,3.7,{},2021/2/20,2021/2/20
60474,2020/7/23,9.98,{"2020-08-21": "9.58"},2020/8/31,2020/8/31
79,2021/7/7,3.2,{},2021/7/9,2021/7/9
66250,2020/8/13,13,{},2020/8/18,2020/8/18
746,2021/6/13,6.05,{},2021/9/1,2021/9/1
73811,2020/7/13,6.8,{},2020/7/14,2020/7/14
69176,2020/9/5,54,{"2020-10-27": "48.8"},2020/10/29,2020/10/29
73455,2020/12/29,16.6,"{""2021-01-20"": ""11.6"", ""2021-01-21"": ""16.3""}",2021/1/21,2021/1/21
15800,2021/6/26,5.38,{},2021/7/10,2021/7/10
70028,2020/9/10,29.98,{},2020/9/18,2020/9/18
34355,2020/7/22,7.89,{"2020-07-27": "7.69"},2020/7/28,2020/7/28
15809,2021/5/21,7.9,{},2021/5/30,2021/5/30
21431,2021/2/6,7.8,{},2021/4/2,2021/4/2
66785,2020/3/12,4.98,{},2020/3/20,2020/3/20
51401,2020/4/21,32,{"2020-05-04": "31"},2020/5/9,2020/5/9
55334,2021/1/8,9.98,{},2021/1/14,2021/1/14
72008,2021/7/5,5.8,"{""2021-07-26"": ""5.5"", ""2021-07-29"": ""5.38""}",2021/8/4,2021/8/4
22643,2020/8/16,3.8,"{""2020-08-17"": ""3.6"", ""2020-08-18"": ""3.5"", ""2020-08-19"": ""3.3""}",2020/8/22,2020/8/22
41374,2021/4/9,24.88,"{""2021-04-14"": ""23.58"", ""2021-05-17"": ""23.48""}",2021/5/17,2021/5/17
62893,2021/2/2,8.9,{},2021/2/28,2021/2/28
976,2021/7/9,59.2,{},2021/8/3,2021/8/3
49852,2021/3/15,66,"{""2021-03-30"": ""65.8"", ""2021-04-13"": ""65""}",2021/4/30,2021/4/30
1910,2020/5/12,6.6,{"2020-07-09": "6.28"},2020/7/15,2020/7/15
14445,2020/10/8,27.5,{},2020/10/15,2020/10/15
58609,2020/8/23,11.98,{},2020/9/23,2020/9/23
1517,2021/7/7,3.45,{},2021/7/12,2021/7/12
42956,2020/6/29,7.2,{},2020/7/16,2020/7/16
11775,2020/12/2,2.5,{"2020-12-03": "2.3"},2020/12/10,2020/12/10
4399,2021/1/27,7.3,{"2021-02-19": "7.1"},2021/3/17,2021/3/17
18016,2021/2/23,16.8,{"2021-03-20": "16"},2021/4/2,2021/4/2
49628,2021/3/4,7.8,{},2021/3/11,2021/3/11
42845,2020/11/14,23.88,"{""2020-11-17"": ""23.38"", ""2020-11-28"": ""23.18""}",2020/11/28,2020/11/28
69005,2021/1/10,8.28,"{""2021-01-11"": ""7.99"", ""2021-01-25"": ""7.68""}",2021/2/3,2021/2/3
45617,2020/5/22,13.5,{},2020/5/22,2020/5/22
62037,2020/5/29,12.88,{},2020/6/13,2020/6/13
12717,2020/4/5,23.18,{"2020-04-08": "22.68"},2020/4/30,2020/4/30
37304,2021/3/4,11.58,{},2021/3/12,2021/3/12
30091,2020/12/28,6.28,"{""2021-01-06"": ""6.18"", ""2021-01-07"": ""5.8""}",2021/1/26,2021/1/26
73095,2021/4/30,16.8,"{""2021-05-15"": ""15.88"", ""2021-06-05"": ""14.8""}",2021/6/27,2021/6/27
30476,2020/6/26,2,"{""2020-07-14"": ""1.8"", ""2020-08-25"": ""1.65""}",2020/10/13,2020/10/13
38350,2021/4/2,9,{},2021/4/12,2021/4/12
102,2021/5/11,6,{},2021/6/7,2021/6/7
18985,2021/7/21,19.2,{"2021-07-22": "18.8"},2021/7/25,2021/7/25
10879,2020/12/20,6.58,{},2020/12/24,2020/12/24
46292,2020/6/12,5.18,{},2020/6/15,2020/6/15
6789,2020/4/23,13.5,"{""2020-04-24"": ""12.8"", ""2020-04-25"": ""12.6"", ""2020-04-26"": ""12.5"", ""2020-05-07"": ""11.5""}",2020/5/10,2020/5/10
18148,2021/4/17,28.6,{},2021/6/13,2021/6/13
3753,2021/6/22,7.98,{},2021/8/3,2021/8/3
14619,2020/8/9,9.99,{"2020-08-24": "9.79"},2020/9/6,2020/9/6
68912,2020/9/24,15.5,{},2020/9/30,2020/9/30
43936,2020/6/23,5.98,{},2020/6/28,2020/6/28
2846,2020/7/23,6.88,{},2020/7/24,2020/7/24
20998,2021/4/14,22.8,{"2021-04-15": "21.98"},2021/4/23,2021/4/23
1484,2021/7/10,13.3,{},2021/9/20,2021/9/20
27668,2021/1/8,4.38,{},2021/2/27,2021/2/27
615,2021/6/1,21.765,{},2021/9/19,2021/9/19
22841,2021/4/28,5.8,{},2021/4/28,2021/4/28
31081,2020/11/11,2.63,{},2020/11/14,2020/11/14
21984,2020/7/28,4,{},2020/7/31,2020/7/31
1456,2021/6/2,9.38,{"2021-06-10": "8.9"},2021/6/10,2021/6/10
35868,2021/7/15,0.88,{},2021/7/18,2021/7/18
65567,2020/6/30,13.2,{"2020-07-03": "12.8"},2020/7/5,2020/7/5
43462,2020/8/13,10,{},2020/8/22,2020/8/22
71159,2021/4/1,26.8,{},2021/4/14,2021/4/14
40970,2021/3/11,12.7,{},2021/3/17,2021/3/17
68520,2021/3/2,9,{},2021/3/9,2021/3/9
186,2021/6/17,6.2,{},2021/7/22,2021/7/22
71767,2021/1/24,8.98,{},2021/2/20,2021/2/20
48141,2020/8/22,3.58,{},2020/8/23,2020/8/23
35785,2020/8/20,3.45,{"2020-08-27": "3.25"},2020/11/12,2020/11/12
28149,2021/5/15,2.8,{},2021/5/28,2021/5/28
40960,2020/1/8,2.3,{"2020-01-10": "2.1"},2020/1/19,2020/1/19
30093,2021/4/22,6.1,{},2021/5/11,2021/5/11
16527,2020/9/7,2.3,{},2020/9/10,2020/9/10
66703,2021/1/5,23.88,"{""2021-01-19"": ""23.58"", ""2021-01-27"": ""22.98""}",2021/1/28,2021/1/28
44580,2020/10/9,62.5,{"2020-10-10": "62"},2020/10/12,2020/10/12
47286,2021/3/19,28.8,"{""2021-04-13"": ""28.38"", ""2021-04-16"": ""27.98""}",2021/4/23,2021/4/23
49798,2020/6/21,32.8,{"2020-06-26": "30.8"},2020/6/28,2020/6/28
10295,2020/5/25,23.6,{},2020/6/30,2020/6/30
845,2021/5/11,8.55,{},2021/6/8,2021/6/8
1452,2021/6/10,3.5,{},2021/6/13,2021/6/13
1527,2021/7/1,6.8,{},2021/7/16,2021/7/16
60675,2020/6/4,9.8,"{""2020-07-02"": ""9.2"", ""2020-07-18"": ""8.99"", ""2020-08-11"": ""8.9799""}",2020/8/20,2020/8/20
14479,2020/7/16,6.5,{"2020-07-24": "6.2"},2020/7/27,2020/7/27
52638,2021/3/30,0.7,{"2021-04-04": "0.6"},2021/4/6,2021/4/6
20945,2020/12/4,22,{"2020-12-05": "20.3"},2020/12/14,2020/12/14
65698,2020/6/10,61.8,{"2020-08-13": "60"},2020/9/11,2020/9/11
11718,2021/1/15,5.3,{},2021/2/2,2021/2/2
33280,2021/5/3,8.98,{},2021/5/17,2021/5/17
15818,2020/12/6,8.55,{},2020/12/28,2020/12/28
52412,2020/6/8,8,"{""2020-06-11"": ""7.5"", ""2020-06-21"": ""7.45"", ""2020-07-02"": ""7.28""}",2020/8/9,2020/8/9
56693,2021/7/24,7.68,{},2021/8/8,2021/8/8
59531,2020/4/5,27,{"2020-04-06": "25.6"},2020/5/11,2020/5/11
27418,2020/9/13,14.38,{},2020/11/1,2020/11/1
39196,2020/9/22,2.5,{},2020/9/29,2020/9/29
11729,2020/9/23,16.28,"{""2020-09-26"": ""15.98"", ""2020-10-06"": ""15.68""}",2020/10/7,2020/10/7
39695,2020/11/11,5.6,{},2020/11/15,2020/11/15
36539,2020/6/19,12.8,{},2021/2/2,2021/2/2
45125,2021/3/3,35.88,{},2021/3/9,2021/3/9
8280,2020/10/3,18.2,{},2020/10/19,2020/10/19
29584,2020/10/16,7.5,{},2020/10/20,2020/10/20
58337,2021/7/24,5.9,{},2021/7/25,2021/7/25
57600,2021/7/11,9.8,{},2021/7/19,2021/7/19
297,2021/7/6,0.7,{},2021/7/11,2021/7/11
40734,2020/11/29,9.38,{},2020/12/1,2020/12/1
15660,2020/11/27,3,{},2020/11/28,2020/11/28
64107,2020/12/12,10.5,"{""2020-12-24"": ""10"", ""2020-12-29"": ""9.8""}",2020/12/31,2020/12/31
56987,2021/6/29,2.55,{},2021/7/9,2021/7/9
67457,2020/6/18,14.5,{},2020/6/29,2020/6/29
23383,2021/1/6,10.8,{},2021/1/9,2021/1/9
1210,2021/6/18,3.88,{},2021/6/25,2021/6/25
35756,2020/11/8,9.2,{"2021-03-11": "9"},2021/3/15,2021/3/15
52896,2020/10/9,17.8,{},2020/10/13,2020/10/13
34653,2020/1/15,35,{},2020/2/20,2020/2/20
16419,2021/4/11,7.8,{},2021/4/26,2021/4/26
2244,2021/2/25,4.98,{"2021-03-03": "4.78"},2021/3/21,2021/3/21
71998,2020/12/5,9.6,{"2020-12-29": "9.18"},2021/1/4,2021/1/4
